file,block_id,description,runnable,correct_impl,redundant,irrelevant,notes
causal_trace.ipynb,cell-1,Colab setup bash commands,Y,NA,N,Y,"Colab-specific setup, skipped in local environment"
causal_trace.ipynb,cell-2,Colab detection and environment check,Y,Y,N,N,
causal_trace.ipynb,cell-4,Autoreload extension for development,Y,NA,N,N,
causal_trace.ipynb,cell-6,Import causal trace modules and utilities,Y,Y,N,N,
causal_trace.ipynb,cell-8,Load GPT-2 XL model and tokenizer,Y,Y,N,N,
causal_trace.ipynb,cell-9,Test model factual predictions,Y,Y,N,N,
causal_trace.ipynb,cell-11,Compute noise level from embedding statistics,Y,Y,N,N,
causal_trace.ipynb,cell-13,Define trace_with_patch function for causal intervention,Y,Y,N,N,
causal_trace.ipynb,cell-15,Define calculate_hidden_flow and trace scanning functions,Y,Y,N,N,
causal_trace.ipynb,cell-17,Define plotting functions for heatmap visualization,Y,Y,N,N,
causal_trace.ipynb,cell-19,Run causal tracing on Space Needle prompt,Y,Y,N,N,
causal_trace.ipynb,cell-21,Run causal tracing on multiple known facts,Y,Y,N,N,
rome.ipynb,5416767c,Colab setup bash commands,Y,NA,N,Y,"Colab-specific setup, skipped in local environment"
rome.ipynb,b7a246a2,Colab detection and environment check,Y,Y,N,N,
rome.ipynb,9bdfca4c,Autoreload extension,Y,NA,N,N,
rome.ipynb,aec81909,Import ROME and utility modules,Y,Y,N,N,
rome.ipynb,7b5abe30,Set model name to gpt2-xl,Y,Y,N,N,
rome.ipynb,bb3c3c37,Load GPT-2 XL model and tokenizer,Y,Y,N,N,
rome.ipynb,0f24ec03,Define edit request and generation prompts,Y,Y,N,N,
rome.ipynb,3c63d85f,Set algorithm name to ROME,Y,Y,N,N,
rome.ipynb,c5820200,Execute ROME model editing,Y,Y,N,N,Required torch.set_grad_enabled(True) to be set before execution
rome.ipynb,bae6d743,stop_execution utility call,Y,NA,N,N,
rome.ipynb,1a488d43,Interactive text generation,Y,NA,N,N,"Interactive cell, skipped in automated evaluation"
rome.ipynb,da06a923,Alternative request: LeBron James plays football,Y,Y,N,N,
rome.ipynb,bea6565c,Alternative request: Mario Kart developed by Apple,Y,Y,N,N,
rome.ipynb,62b8defa,Empty cell,Y,NA,N,Y,Empty cell at end of notebook
average_causal_effects.ipynb,f379178d,Markdown: Script introduction,Y,NA,N,N,
average_causal_effects.ipynb,26bba71c,"Load and aggregate causal traces, compute AIE",N,Y,N,N,Requires pre-computed causal trace results in results/gpt2-xl/causal_trace/cases/
average_causal_effects.ipynb,c896e9ac,Markdown: Line graph introduction,Y,NA,N,N,
average_causal_effects.ipynb,c1fe3105,Plot line graphs with confidence intervals,N,Y,N,N,Requires pre-computed causal trace results
causal_trace_frozen_mlp_attn.ipynb,36b9dc9c,Colab setup bash commands,Y,NA,N,Y,Colab-specific setup
